x_px,y_px
3410,1954
3413,1954
3416,2010
3418,2090
3422,2063
3422,2122
3425,2010
3425,2036
3426,735
3426,738
3426,763
3426,793
3426,937
3426,976
3426,1928
3426,1944
3426,1952
3426,2001
3426,2017
3426,2063
3426,2117
3426,2120
3426,2162
3430,913
3430,966
3432,764
3435,939
3436,1895
3439,1869
3441,2010
3442,1984
3442,2122
3443,2148
3446,1023
3447,793
3448,992
3452,776
3452,798
3452,918
3452,925
3452,940
3452,978
3452,986
3452,994
3452,1027
3452,1840
3452,1874
3452,1897
3452,1941
3452,1965
3452,1985
3452,2004
3452,2024
3452,2070
3452,2120
3452,2123
3455,913
3458,966
3464,1869
3465,1023
3466,1811
3466,2090
3468,2036
3469,1079
3469,1895
3470,1954
3472,2010
3474,1050
3475,1837
3478,2063
3479,966
3479,1895
3480,1954
3480,1984
3481,913
3483,1783
3484,814
3484,895
3484,917
3484,922
3484,943
3484,973
3484,982
3484,1001
3484,1044
3484,1087
3484,1791
3484,1823
3484,1835
3484,1844
3484,1881
3484,1900
3484,1943
3484,1954
3484,1997
3484,2003
3484,2009
3484,2058
3484,2063
3484,2100
3486,1928
3487,1756
3488,939
3489,1811
3491,2036
3493,992
3493,1869
3495,830
3495,2090
3497,1984
3499,992
3499,1023
3503,939
3503,1050
3503,1079
3504,966
3505,857
3506,1106
3507,887
3507,913
3508,939
3510,1050
3510,2063
3512,1137
3512,1869
3516,1869
3522,1191
3522,1928
3522,2010
3522,2036
3525,883
3525,920
3525,943
3525,984
3525,1025
3525,1051
3525,1098
3525,1150
3525,1163
3525,1197
3525,1703
3525,1712
3525,1729
3525,1756
3525,1768
3525,1821
3525,1836
3525,1884
3525,1893
3525,1938
3525,1951
3525,2003
3525,2044
3528,1783
3528,1811
3531,1837
3536,1954
3536,1984
3539,1650
3541,966
3541,1164
3541,1191
3541,2036
3542,939
3542,2010
3543,913
3543,1624
3544,1023
3544,1895
3544,1928
3545,1217
3546,1050
3546,1243
3547,1869
3548,992
3553,935
3553,983
3553,987
3553,1039
3553,1042
3553,1097
3553,1156
3553,1205
3553,1213
3553,1258
3553,1617
3553,1664
3553,1730
3553,1767
3553,1793
3553,1822
3553,1853
3553,1891
3553,1942
3553,1966
3553,1994
3557,1050
3557,1079
3558,992
3559,1106
3559,1137
3560,1624
3564,1506
3565,1269
3566,1869
3567,1164
3567,1596
3568,1650
3569,966
3569,1558
3569,1895
3570,1023
3572,1295
3572,1506
3572,1928
3573,1532
3574,1783
3575,1191
3575,1217
3575,1837
3577,1243
3577,1954
3578,1677
3578,1703
3580,1730
3580,1756
3581,945
3581,989
3581,1041
3581,1096
3581,1156
3581,1211
3581,1266
3581,1312
3581,1456
3581,1493
3581,1502
3581,1537
3581,1540
3581,1558
3581,1605
3581,1624
3581,1650
3581,1660
3581,1715
3581,1765
3581,1776
3581,1831
3581,1884
3581,1889
3581,1937
3581,1941
3581,1953
3582,1269
3583,1783
3583,1811
3585,1506
3587,1364
3587,1532
3588,1417
3589,1338
3589,1596
3589,1837
3590,1895
3591,966
3591,1928
3593,1443
3595,1390
3596,1079
3599,1869
3600,1137
3601,1295
3602,1928
3604,1106
3605,1050
3605,1532
3606,1243
3606,1338
3607,1928
3608,1364
3608,1558
3609,1023
3611,1390
3611,1506
3613,1417
3615,1041
3615,1048
3615,1095
3615,1099
3615,1149
3615,1156
3615,1211
3615,1337
3615,1371
3615,1384
3615,1426
3615,1443
3615,1484
3615,1597
3615,1607
3615,1661
3615,1714
3615,1769
3615,1819
3615,1846
3615,1886
3615,1924
3616,1137
3617,1164
3617,1191
3617,1217
3620,1928
3621,1624
3621,1650
3624,1364
3625,1079
3625,1106
3626,1895
3628,1137
3628,1811
3629,1783
3631,1837
3632,1869
3634,1677
3634,1703
3635,1730
3635,1756
3637,1364
3638,1191
3638,1390
3638,1837
3639,1417
3640,1624
3641,1052
3641,1099
3641,1155
3641,1189
3641,1220
3641,1341
3641,1378
3641,1431
3641,1478
3641,1605
3641,1613
3641,1616
3641,1619
3641,1660
3641,1717
3641,1774
3641,1824
3641,1831
3647,1650
3649,1624
3651,1191
3651,1596
3651,1783
3651,1811
3656,1079
3659,1164
3659,1191
3660,1106
3662,1217
3664,1473
3665,1596
3669,1137
3669,1154
3669,1209
3669,1215
3669,1353
3669,1378
3669,1430
3669,1445
3669,1478
3669,1600
3669,1606
3669,1614
3669,1660
3669,1717
3669,1769
3669,1781
3669,1815
3673,1811
3675,1364
3675,1730
3676,1756
3678,1217
3679,1390
3679,1417
3679,1677
3679,1703
3681,1164
3681,1191
3682,1217
3687,1624
3687,1650
3689,1443
3690,1338
3691,1243
3692,1473
3694,1730
3695,1164
3695,1190
3695,1220
3695,1247
3695,1335
3695,1363
3695,1390
3695,1432
3695,1480
3695,1608
3695,1659
3695,1706
3700,1703
3706,1677
3707,1217
3708,1191
3708,1596
3708,1650
3713,1596
3715,1243
3715,1269
3716,1390
3717,1364
3720,1390
3721,1295
3721,1417
3721,1473
3721,1506
3723,1624
3724,1443
3724,1558
3726,1338
3726,1532
3728,1364
3729,1532
3733,1506
3734,1473
3736,1390
3736,1417
