x_px,y_px
161.0,173.33333333333334
161.0,367.0
161.0,374.0
161.0,536.0
161.0,607.0
161.0,652.6666666666666
161.0,667.0
161.0,689.0
161.0,702.0
161.0,748.3333333333334
161.0,820.6666666666666
161.0,878.5
161.0,896.0
161.11111111111111,765.1111111111111
161.4,859.6
161.6315789473684,793.8947368421053
163.28571428571428,786.7142857142857
164.0,695.0
165.0,262.0
165.0,364.0
165.0,751.0
167.0,278.0
167.25,245.75
168.33333333333334,381.0
168.66666666666666,230.0
169.0,295.0
169.0,311.0
169.0,348.0
169.66666666666666,400.0
171.0,468.0
171.66666666666666,418.0
172.5,452.0
174.0,490.0
175.0,642.0
175.6,507.0
176.0,659.0
176.66666666666666,841.0
177.0,806.0
178.0,542.0
178.0,787.0
179.0,751.0
180.0,729.0
180.0,878.0
180.29032258064515,732.4516129032259
180.33333333333334,822.2666666666667
180.4,590.3
180.41666666666666,263.5833333333333
180.63636363636363,686.0
180.66666666666666,703.25
180.76,769.64
181.0,248.0
181.0,275.0
181.0,284.0
181.0,334.3333333333333
181.0,420.0
181.0,435.0
181.0,478.0
181.0,492.0
181.0,514.0
181.0,532.0
181.0,547.0
181.0,557.0
181.0,571.3333333333334
181.0,602.3333333333334
181.0,612.0
181.0,627.6666666666666
181.0,642.3333333333334
181.0,651.0
181.0,661.0
181.0,668.0
181.0,797.0
181.0,843.0
181.0,895.0
181.25,370.375
181.25,856.25
181.52941176470588,314.94117647058823
182.0,311.0
183.0,695.0
183.66666666666666,364.0
184.75,770.0
185.33333333333334,400.0
185.41666666666666,641.6666666666666
185.5,841.0
186.54545454545453,659.7272727272727
187.0,418.0
187.0,452.0
187.0,468.0
188.0,526.0
188.5,381.0
189.0,560.0
189.0,624.0
190.85714285714286,229.76190476190476
191.0,489.3333333333333
191.0,711.0
191.28571428571428,246.28571428571428
192.0,418.0
192.66666666666666,364.0
192.66666666666666,400.0
192.66666666666666,729.0
193.0,787.0
194.0,585.0
194.66666666666666,311.0
195.0,859.0
195.5,507.25
196.0,770.0
196.0,878.0
196.47368421052633,774.0
196.75,251.25
196.75,854.75
196.85714285714286,624.5714285714286
197.0,229.66666666666666
197.0,262.0
197.0,277.0
197.0,299.0
197.0,318.0
197.0,337.0
197.0,545.0
197.0,554.0
197.0,574.0
197.0,590.0
197.0,648.0
197.0,665.5
197.0,698.6666666666666
197.0,707.0
197.0,719.0
197.0,743.0
197.0,797.0
197.0,818.0
197.0,841.0
197.14285714285714,606.0
197.2,685.6
197.57142857142858,531.2857142857143
198.33333333333334,295.0
200.66666666666666,659.0
201.0,329.0
201.0,896.3333333333334
202.0,676.0
204.0,381.0
205.0,878.0
205.66666666666666,295.0
206.0,435.0
206.0,560.0
207.0,364.0
207.0,400.0
207.0,642.0
210.0,452.0
210.33333333333334,467.6666666666667
211.22222222222223,584.8888888888889
