x,y
539,582
539,590
539,595
539,610
539,615
539,634
539,648
539,667
539,683
539,706
539,728
539,763
539,783
539,802
539,885
541,338
541,378
541,415
541,487
541,513
542,654
542,743
543,327
543,525
543,537
543,550
544,617
544,630
544,642
545,692
545,704
545,730
546,442
546,595
546,606
548,563
548,582
548,767
548,856
548,874
549,678
549,715
550,796
550,808
550,824
550,836
551,123
551,285
551,755
552,226
552,233
552,252
552,293
552,474
552,555
552,589
552,618
552,687
552,727
552,741
552,761
552,786
552,884
553,258
554,550
555,271
555,285
555,367
558,299
558,327
558,378
558,550
559,356
560,367
560,390
560,430
560,537
560,606
561,314
561,487
561,595
562,378
562,415
562,442
562,563
563,246
563,250
563,277
563,291
563,299
563,310
563,319
563,327
563,337
563,359
563,403
563,423
563,437
563,479
563,493
563,513
563,533
563,553
563,569
563,582
563,687
563,700
563,711
563,726
563,730
563,740
563,786
563,884
564,654
564,704
564,755
566,630
566,642
566,767
567,271
567,299
567,692
567,743
567,781
567,808
568,314
569,285
569,606
569,678
570,356
570,715
570,824
570,836
571,856
571,874
572,402
573,415
573,513
574,230
574,265
574,289
574,336
574,367
574,374
574,395
574,406
574,421
574,439
574,450
574,458
574,502
574,525
574,550
574,598
574,602
574,610
574,627
574,640
574,650
574,668
574,680
574,689
574,705
574,716
574,730
574,738
574,746
574,759
574,763
574,782
574,786
574,799
574,807
574,811
574,822
574,840
574,851
574,884
575,537
575,606
576,582
576,755
577,472
578,285
578,617
578,630
578,667
578,678
579,327
579,704
579,743
580,299
580,356
580,550
580,692
581,314
581,367
581,715
582,402
582,430
582,442
582,472
583,378
583,415
583,458
583,654
583,824
584,502
584,513
584,550
584,767
584,856
584,874
585,537
585,630
585,836
586,595
587,212
587,228
587,266
587,290
587,301
587,317
587,340
587,355
587,378
587,382
587,407
587,418
587,422
587,426
587,439
587,453
587,458
587,462
587,467
587,478
587,491
587,522
587,530
587,557
587,576
587,606
587,614
587,652
587,664
587,672
587,681
587,685
587,689
587,702
587,709
587,722
587,728
587,742
587,763
587,779
587,801
587,811
587,883
588,233
588,550
588,582
589,630
590,430
590,472
590,755
590,836
591,285
591,667
591,715
592,220
592,271
592,402
592,513
592,550
593,299
593,367
593,415
593,563
593,630
593,824
594,314
594,378
594,458
594,487
594,525
594,537
594,617
594,767
594,856
594,874
595,390
595,442
595,595
595,808
596,550
596,606
597,513
597,630
597,654
597,755
598,458
598,472
598,537
598,582
598,642
599,730
599,796
600,550
600,563
601,246
601,287
601,396
601,500
601,504
601,525
601,531
601,557
601,568
601,575
601,587
601,595
601,606
601,614
601,625
601,630
601,650
601,667
601,678
601,688
601,708
601,720
601,734
601,739
601,747
601,757
601,763
601,776
601,785
601,789
601,818
601,835
601,859
601,884
602,537
602,743
602,781
604,550
604,692
604,704
604,715
604,767
605,630
605,755
605,808
605,824
605,836
605,856
606,233
606,245
606,258
606,537
606,582
606,781
607,314
607,796
609,442
609,458
610,205
610,537
611,285
611,525
611,808
612,223
612,228
612,265
612,280
612,299
612,305
612,319
612,338
612,363
612,415
612,421
612,434
612,462
612,499
612,506
612,510
612,531
612,548
612,575
612,614
612,653
612,667
612,703
612,719
612,737
612,760
612,779
612,817
612,884
613,356
613,402
614,430
614,537
614,874
615,285
615,563
616,220
616,367
616,550
616,755
617,314
617,458
617,487
617,595
617,606
618,537
618,743
619,513
619,654
619,824
621,402
621,502
621,525
621,582
621,630
621,642
621,808
622,537
623,617
623,730
623,767
624,704
624,796
625,402
625,563
625,582
625,595
625,606
625,630
625,692
625,715
626,378
626,537
627,667
627,755
627,836
627,856
628,241
628,268
628,285
628,339
628,363
628,395
628,461
628,476
628,500
628,508
628,530
628,552
628,577
628,586
628,612
628,644
628,684
628,702
628,710
628,720
628,737
628,746
628,759
628,795
628,802
628,813
628,829
628,883
629,233
629,245
629,595
630,513
630,824
631,258
631,630
631,808
632,299
632,678
632,704
632,796
633,245
633,285
633,378
633,642
633,715
633,874
634,314
634,338
634,743
635,327
635,390
635,487
635,630
636,402
636,415
636,472
636,704
636,767
636,796
637,442
637,458
637,513
637,525
638,550
639,183
639,225
639,260
639,271
639,278
639,285
639,299
639,306
639,314
639,342
639,377
639,479
639,483
639,489
639,493
639,537
639,566
639,570
639,574
639,586
639,606
639,613
639,627
639,632
639,642
639,648
639,654
639,671
639,683
639,687
639,710
639,714
639,724
639,744
639,759
639,773
639,800
639,813
639,842
639,846
639,850
639,883
641,188
641,617
641,704
642,550
642,582
642,667
642,755
642,824
643,271
643,299
643,606
643,692
644,314
644,808
645,678
645,704
645,730
645,781
645,836
646,285
646,338
646,550
646,755
646,767
647,402
647,415
647,715
648,356
648,367
648,378
649,458
650,390
650,487
650,513
650,537
650,550
650,617
650,856
651,472
652,378
652,582
653,525
653,563
654,642
654,730
655,281
655,297
655,326
655,440
655,454
655,472
655,490
655,534
655,548
655,567
655,586
655,594
655,611
655,626
655,630
655,646
655,654
655,663
655,667
655,684
655,692
655,704
655,708
655,712
655,716
655,734
655,742
655,758
655,780
655,794
655,818
655,833
655,858
655,883
656,606
657,678
657,874
658,730
658,767
659,630
659,704
659,743
659,796
659,808
659,824
659,836
660,205
660,472
662,356
662,458
663,617
663,704
664,271
664,642
664,808
665,338
665,390
665,430
666,285
666,299
667,314
667,378
667,458
667,704
668,327
669,356
669,415
669,525
669,537
670,402
670,472
671,245
671,367
671,595
671,606
671,704
672,487
672,502
672,513
672,550
672,563
673,430
673,582
673,781
674,617
675,630
675,642
675,704
676,525
676,874
677,458
677,692
677,715
677,767
677,856
678,163
678,280
678,341
678,436
678,476
678,502
678,517
678,536
678,556
678,564
678,568
678,587
678,594
678,598
678,602
678,654
678,667
678,724
678,743
678,755
678,762
678,778
678,811
678,829
678,849
678,881
679,678
679,796
679,824
681,730
683,245
687,285
687,338
687,356
687,525
688,367
690,390
690,442
691,271
691,327
691,472
691,582
691,642
691,654
692,487
692,502
692,630
693,513
693,525
693,550
693,563
693,730
694,223
694,227
694,258
694,276
694,286
694,300
694,332
694,357
694,379
694,392
694,402
694,406
694,410
694,414
694,430
694,453
694,491
694,496
694,506
694,532
694,571
694,589
694,595
694,617
694,666
694,681
694,701
694,724
694,748
694,761
694,812
694,848
694,881
695,271
695,327
695,458
695,537
695,606
696,743
697,582
697,755
697,767
698,258
698,285
698,299
698,667
698,678
698,704
698,715
699,245
699,356
699,415
699,796
699,808
700,692
700,856
700,874
701,378
701,502
701,730
701,824
702,390
702,743
702,836
703,245
703,356
703,563
703,781
704,606
705,472
705,487
705,513
706,595
706,743
706,755
706,836
707,107
707,220
707,224
707,245
707,249
707,275
707,287
707,353
707,392
707,397
707,412
707,436
707,453
707,476
707,480
707,493
707,497
707,508
707,517
707,535
707,549
707,570
707,625
707,654
707,664
707,677
707,684
707,701
707,721
707,725
707,729
707,735
707,775
707,792
707,811
707,844
707,881
708,271
708,630
710,299
710,525
710,836
711,458
711,502
711,796
712,367
712,378
712,472
713,430
714,220
714,487
714,513
715,402
715,502
715,550
715,563
715,606
715,704
715,715
715,767
716,205
716,582
716,595
716,642
717,299
717,667
717,678
718,233
718,327
718,617
718,630
718,743
719,188
719,730
720,338
720,642
720,836
721,203
721,228
721,246
721,257
721,285
721,300
721,314
721,321
721,344
721,353
721,375
721,395
721,416
721,429
721,438
721,449
721,474
721,491
721,504
721,516
721,530
721,549
721,566
721,572
721,584
721,593
721,604
721,625
721,646
721,663
721,682
721,717
721,721
721,725
721,755
721,794
721,812
721,825
721,854
721,881
723,874
724,836
725,314
725,390
725,415
725,442
725,550
725,563
726,458
726,472
726,502
726,692
727,402
727,487
727,743
728,654
728,781
728,836
729,513
729,606
729,617
729,730
729,796
729,808
730,537
730,582
730,630
730,667
730,678
730,692
731,205
731,704
731,715
733,595
733,767
734,327
734,692
736,173
736,186
736,199
736,204
736,229
736,254
736,278
736,282
736,332
736,361
736,393
736,404
736,433
736,470
736,514
736,568
736,579
736,606
736,625
736,640
736,656
736,685
736,703
736,730
736,739
736,754
736,774
736,780
736,784
736,791
736,811
736,830
736,834
736,843
736,854
736,880
